ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,tiempoResolucion,JuegoID,nivelEscalamiento
42,Rotura,2024-04-28,Cerrada,"['733-04-2086', '735-30-7385', '003-12-7817']",['MNT-12228'],90,21965,MUY URGENTE
43,Mal funcionamiento,2024-08-26,Cerrada,"['176-49-6345', '271-42-0156', '199-53-0558']",['MNT-13503'],-1,7886337,MUY URGENTE
44,Vandalismo,2024-06-18,Cerrada,['351-49-6681'],['MNT-07333'],-1,24895,POCO URGENTE
45,Desgaste,2024-09-19,Abierta,['461-89-3669'],['MNT-14756'],-1,21382,POCO URGENTE
46,Vandalismo,2024-02-11,Cerrada,"['888-99-5847', '193-18-4017', '053-99-8190']",['MNT-00842'],202,9470463,MUY URGENTE
47,Rotura,2024-04-14,Cerrada,"['632-00-3897', '459-73-0908', '668-32-8793']",['MNT-01462'],61,25831,MUY URGENTE
48,Rotura,2024-10-10,Abierta,"['596-19-1998', '286-98-4422', '041-15-2415']","['MNT-02297', 'MNT-02494']",-1,5245783,MUY URGENTE
49,Rotura,2024-10-08,Cerrada,"['689-32-4439', '873-27-3314', '913-85-6147']",['MNT-02179'],-1,20190,MUY URGENTE
50,Rotura,2024-01-27,Abierta,['863-33-3766'],['MNT-07750'],-1,4731194,POCO URGENTE
51,Vandalismo,2024-06-14,Abierta,['869-34-7706'],['MNT-01438'],-1,25027,POCO URGENTE
52,Mal funcionamiento,2024-09-14,Cerrada,"['142-30-5668', '955-90-1850']",['MNT-08133'],-1,34977,URGENTE
53,Rotura,2024-02-07,Abierta,['738-70-3572'],['MNT-08945'],-1,5003248,POCO URGENTE
54,Desgaste,2024-09-15,Cerrada,"['014-33-4371', '508-48-3418', '387-76-2628']",['MNT-14807'],-1,5218600,MUY URGENTE
55,Vandalismo,2024-10-06,Abierta,"['541-92-0256', '856-89-1964', '016-30-7094']",['MNT-11370'],-1,25025,MUY URGENTE
56,Mal funcionamiento,2023-12-13,Cerrada,"['117-80-0652', '060-21-9395', '089-59-2419']","['MNT-12152', 'MNT-12720']",253,22220,MUY URGENTE
57,Vandalismo,2024-08-29,Abierta,['172-97-8724'],['MNT-13468'],-1,5658987,POCO URGENTE
58,Vandalismo,2024-09-03,Cerrada,"['871-28-1730', '541-59-4325', '471-54-1054']",['MNT-00587'],-1,5659277,MUY URGENTE
59,Vandalismo,2024-08-26,Cerrada,"['690-16-4774', '418-44-8103']",['MNT-01539'],-1,59394,URGENTE
60,Rotura,2024-08-03,Cerrada,"['250-40-0290', '782-70-6692', '401-29-1803']","['MNT-01989', 'MNT-08098']",-1,3568954,MUY URGENTE
61,Desgaste,2024-03-22,Abierta,"['100-01-0264', '410-33-9822']",['MNT-09734'],-1,9220252,URGENTE
62,Mal funcionamiento,2024-08-23,Cerrada,['322-98-2998'],['MNT-02632'],-1,3568702,POCO URGENTE
63,Desgaste,2024-03-07,Abierta,"['479-94-4802', '032-03-7429']",['MNT-03607'],-1,6761359,URGENTE
64,Rotura,2024-03-08,Abierta,['901-73-6249'],['MNT-07756'],-1,21519,POCO URGENTE
65,Desgaste,2024-01-26,Cerrada,['241-48-9310'],['MNT-09794'],116,33845,POCO URGENTE
66,Mal funcionamiento,2024-10-11,Cerrada,"['808-83-2834', '555-94-9326', '711-02-3044']",['MNT-08081'],-1,21629,MUY URGENTE
67,Rotura,2024-01-16,Cerrada,"['090-73-5016', '018-48-4998', '236-66-5410']","['MNT-07601', 'MNT-11223']",220,7603093,MUY URGENTE
68,Rotura,2024-09-29,Cerrada,"['889-06-0212', '223-67-7660']","['MNT-02315', 'MNT-12518']",-1,21302,URGENTE
69,Desgaste,2024-09-28,Cerrada,"['597-83-3782', '438-90-8611', '310-67-5019']",['MNT-03205'],-1,5158880,MUY URGENTE
70,Vandalismo,2024-02-03,Cerrada,"['288-08-3515', '901-67-6635']",['MNT-11544'],174,7902176,URGENTE
71,Vandalismo,2024-03-16,Cerrada,"['778-65-5960', '282-19-2052']",['MNT-04456'],31,20867,URGENTE
72,Vandalismo,2024-10-05,Cerrada,['460-57-1099'],['MNT-12063'],-1,33887,POCO URGENTE
73,Desgaste,2024-06-07,Abierta,"['305-88-3625', '753-54-9380', '738-87-3253']",['MNT-03462'],-1,9424674,MUY URGENTE
74,Desgaste,2024-02-14,Cerrada,"['154-86-3026', '138-40-0694', '032-33-8307']",['MNT-01352'],52,5158942,MUY URGENTE
75,Desgaste,2023-11-16,Cerrada,"['733-85-7189', '603-85-7965']",['MNT-10547'],114,32733,URGENTE
76,Mal funcionamiento,2024-07-05,Cerrada,"['260-90-2212', '841-37-3199', '628-45-2561']",['MNT-06303'],-1,59280,MUY URGENTE
77,Desgaste,2024-03-20,Cerrada,"['311-23-9012', '542-71-1216']",['MNT-13487'],-1,59757,URGENTE
78,Rotura,2024-09-30,Abierta,['085-97-4774'],['MNT-02057'],-1,4985734,POCO URGENTE
79,Mal funcionamiento,2024-05-07,Cerrada,"['127-70-7755', '837-71-6783']",['MNT-14167'],-1,21713,URGENTE
80,Mal funcionamiento,2023-11-25,Abierta,['894-46-2114'],"['MNT-04031', 'MNT-12053']",-1,9049007,POCO URGENTE
81,Rotura,2024-10-06,Cerrada,"['391-88-3157', '380-75-1092']","['MNT-02899', 'MNT-08710']",-1,7896571,URGENTE
82,Desgaste,2024-04-11,Cerrada,"['838-96-5164', '818-45-3964']",['MNT-01741'],124,5246134,URGENTE
83,Vandalismo,2024-04-27,Cerrada,"['575-21-6618', '260-56-5535']","['MNT-02507', 'MNT-05962']",-1,58000,URGENTE
84,Desgaste,2024-01-03,Abierta,"['824-77-2616', '158-28-9848', '514-82-8382']",['MNT-11189'],-1,5659062,MUY URGENTE
85,Vandalismo,2023-12-16,Cerrada,['099-35-1380'],['MNT-06988'],75,5239311,POCO URGENTE
86,Vandalismo,2024-09-17,Abierta,"['217-98-1971', '937-20-7275']",['MNT-11802'],-1,9403068,URGENTE
87,Rotura,2024-03-23,Cerrada,"['788-21-2876', '946-79-0736']","['MNT-03508', 'MNT-08892', 'MNT-12574']",72,33918,URGENTE
88,Mal funcionamiento,2024-04-02,Abierta,"['675-54-6552', '409-86-2303']",['MNT-01330'],-1,3566877,URGENTE
89,Mal funcionamiento,2024-05-18,Cerrada,"['817-34-2428', '554-49-0304', '218-00-4040']",['MNT-04249'],-1,5658675,MUY URGENTE
90,Desgaste,2024-01-14,Abierta,"['174-43-1815', '019-00-6767']",['MNT-10012'],-1,34845,URGENTE
91,Mal funcionamiento,2024-02-13,Cerrada,"['148-66-5370', '430-05-1686']",['MNT-12883'],241,9260754,URGENTE
92,Desgaste,2024-01-09,Cerrada,"['865-70-1340', '760-66-5305', '798-74-5409']",['MNT-01855'],59,3530766,MUY URGENTE
93,Desgaste,2023-11-27,Cerrada,"['017-43-7295', '357-05-1407']",['MNT-01845'],220,18990,URGENTE
94,Vandalismo,2024-05-09,Cerrada,['436-60-7701'],['MNT-01454'],-1,3561757,POCO URGENTE
95,Mal funcionamiento,2023-11-20,Abierta,['982-27-6070'],"['MNT-02112', 'MNT-11757']",-1,58875,POCO URGENTE
96,Mal funcionamiento,2023-10-15,Cerrada,"['903-89-7000', '729-25-9421', '167-74-2219']","['MNT-01003', 'MNT-09563']",210,6878904,MUY URGENTE
97,Desgaste,2024-05-29,Abierta,"['741-25-9934', '927-72-9530']",['MNT-09212'],-1,58548,URGENTE
98,Desgaste,2024-01-07,Cerrada,"['433-38-2732', '243-26-3469']",['MNT-02609'],22,33213,URGENTE
99,Desgaste,2023-11-14,Abierta,"['775-68-8525', '081-60-4000', '398-68-3882']","['MNT-01240', 'MNT-04435', 'MNT-12761']",-1,4988106,MUY URGENTE
100,Vandalismo,2024-05-19,Cerrada,['770-24-2945'],['MNT-06864'],-1,54726,POCO URGENTE
101,Mal funcionamiento,2024-10-03,Cerrada,"['336-56-1396', '806-70-9754', '180-58-7713']",['MNT-01560'],-1,59908,MUY URGENTE
102,Desgaste,2024-08-22,Abierta,"['110-54-2966', '743-88-8084']",['MNT-09012'],-1,19729,URGENTE
103,Desgaste,2024-07-11,Cerrada,"['220-90-9225', '628-73-9187']","['MNT-01269', 'MNT-10379']",44,4730916,URGENTE
104,Mal funcionamiento,2023-11-02,Cerrada,['546-06-9283'],['MNT-05666'],333,7893882,POCO URGENTE
105,Rotura,2023-12-06,Cerrada,"['753-87-8349', '831-23-8385']","['MNT-07976', 'MNT-14313']",254,9131300,URGENTE
106,Vandalismo,2023-12-23,Cerrada,['358-75-9776'],"['MNT-04356', 'MNT-11765']",130,3576515,POCO URGENTE
107,Rotura,2023-10-21,Cerrada,['813-16-4973'],['MNT-11043'],249,22117,POCO URGENTE
108,Desgaste,2024-05-19,Abierta,['888-02-5417'],['MNT-12162'],-1,32741,POCO URGENTE
109,Rotura,2023-12-27,Cerrada,"['402-42-7281', '406-56-3619', '660-91-9231']",['MNT-05315'],154,33090,MUY URGENTE
110,Mal funcionamiento,2023-11-09,Abierta,"['915-79-7888', '804-50-1687']","['MNT-07092', 'MNT-11539']",-1,4749949,URGENTE
111,Vandalismo,2024-08-24,Cerrada,['670-05-9074'],"['MNT-11234', 'MNT-12677']",-1,5658644,POCO URGENTE
112,Mal funcionamiento,2023-10-23,Cerrada,"['847-44-2878', '440-29-6963', '107-46-8349']","['MNT-01219', 'MNT-09711', 'MNT-14285']",253,52942,MUY URGENTE
113,Vandalismo,2024-11-06,Cerrada,"['422-00-3504', '151-14-3672']","['MNT-05530', 'MNT-11294']",-1,4732016,URGENTE
114,Mal funcionamiento,2024-04-20,Cerrada,['944-32-3034'],['MNT-04534'],121,7168584,POCO URGENTE
115,Mal funcionamiento,2024-06-06,Abierta,['692-64-7625'],"['MNT-11825', 'MNT-13298']",-1,5196786,POCO URGENTE
116,Rotura,2024-01-04,Cerrada,"['199-55-3678', '999-56-4531', '559-08-6664']",['MNT-13341'],198,5602462,MUY URGENTE
117,Vandalismo,2024-01-10,Cerrada,"['239-90-7990', '925-93-2493', '038-88-0793']",['MNT-01005'],136,58272,MUY URGENTE
118,Rotura,2024-05-09,Abierta,"['488-36-2592', '755-98-6242']","['MNT-01394', 'MNT-08723']",-1,22093,URGENTE
119,Vandalismo,2024-06-26,Abierta,"['314-20-5792', '008-09-7815']",['MNT-14814'],-1,22571,URGENTE
120,Desgaste,2024-03-07,Cerrada,"['721-47-7070', '761-76-9648']",['MNT-13667'],85,4940057,URGENTE
121,Vandalismo,2024-08-22,Cerrada,"['531-32-3397', '378-21-9839', '066-94-8131']","['MNT-02159', 'MNT-04757']",-1,33904,MUY URGENTE
122,Mal funcionamiento,2024-07-01,Cerrada,"['021-72-0249', '106-83-9545', '932-16-5096']",['MNT-05358'],-1,7144285,MUY URGENTE
123,Mal funcionamiento,2023-11-03,Cerrada,['380-33-3475'],"['MNT-03608', 'MNT-06350']",288,4823200,POCO URGENTE
124,Mal funcionamiento,2024-02-29,Abierta,['229-67-5850'],['MNT-12976'],-1,25014,POCO URGENTE
125,Rotura,2024-10-08,Abierta,"['509-39-6212', '706-89-6262']",['MNT-02417'],-1,5658065,URGENTE
126,Vandalismo,2024-06-26,Abierta,['999-31-9294'],['MNT-10980'],-1,9271148,POCO URGENTE
127,Rotura,2024-01-03,Abierta,['762-87-6031'],"['MNT-00893', 'MNT-12391', 'MNT-13550']",-1,33930,POCO URGENTE
128,Rotura,2024-02-21,Abierta,['291-81-9863'],['MNT-00089'],-1,4992011,POCO URGENTE
129,Rotura,2024-07-06,Abierta,"['060-83-4978', '088-72-6336', '805-52-9768']","['MNT-00319', 'MNT-05790']",-1,7246290,MUY URGENTE
130,Mal funcionamiento,2023-12-03,Abierta,"['103-58-3873', '788-66-1589', '559-53-7633']","['MNT-00234', 'MNT-04043']",-1,58975,MUY URGENTE
131,Vandalismo,2024-06-30,Cerrada,"['426-59-0592', '132-74-6029', '008-44-5781']","['MNT-10776', 'MNT-12743']",-1,5658494,MUY URGENTE
132,Rotura,2024-03-09,Cerrada,['342-05-0813'],['MNT-06748'],65,23840,POCO URGENTE
133,Vandalismo,2024-04-14,Abierta,['744-40-7622'],['MNT-09083'],-1,7116448,POCO URGENTE
134,Vandalismo,2024-04-12,Abierta,['768-48-1875'],['MNT-08942'],-1,21596,POCO URGENTE
135,Vandalismo,2024-06-24,Cerrada,['907-91-3349'],['MNT-12962'],32,33500,POCO URGENTE
136,Mal funcionamiento,2024-04-17,Abierta,"['857-73-1221', '854-06-8449', '114-82-0887']",['MNT-13527'],-1,18676,MUY URGENTE
137,Desgaste,2024-08-24,Cerrada,"['498-20-3589', '750-10-2047', '226-27-5299']","['MNT-09104', 'MNT-12773']",-1,20305,MUY URGENTE
138,Desgaste,2024-01-19,Cerrada,"['516-01-8072', '207-84-0141', '178-68-4628']","['MNT-04286', 'MNT-10327']",250,7943791,MUY URGENTE
139,Mal funcionamiento,2024-08-14,Cerrada,"['713-15-5817', '445-92-8881', '982-34-7661']",['MNT-11886'],-1,8891623,MUY URGENTE
140,Rotura,2023-11-12,Abierta,"['590-05-0409', '141-94-3256', '897-31-3331']",['MNT-03672'],-1,3531314,MUY URGENTE
141,Rotura,2023-12-01,Cerrada,"['433-06-8898', '999-56-0502', '235-22-0229']",['MNT-07470'],56,59050,MUY URGENTE
142,Rotura,2024-08-27,Abierta,"['800-63-9797', '786-16-3738', '179-73-2227']",['MNT-03999'],-1,8977870,MUY URGENTE
143,Vandalismo,2024-04-14,Abierta,"['993-26-8588', '021-72-0249']",['MNT-10556'],-1,9433293,URGENTE
144,Vandalismo,2024-02-14,Cerrada,"['197-54-6424', '807-82-9494']",['MNT-14212'],-1,60032,URGENTE
145,Mal funcionamiento,2023-12-14,Cerrada,['374-61-4080'],['MNT-12665'],135,9313148,POCO URGENTE
146,Vandalismo,2024-02-04,Abierta,"['852-76-3607', '561-26-7740', '374-49-6742']",['MNT-03462'],-1,9424674,MUY URGENTE
147,Rotura,2024-05-24,Cerrada,"['743-88-8084', '925-12-3302', '742-25-8929']","['MNT-02218', 'MNT-13692']",109,58670,MUY URGENTE
148,Rotura,2024-03-07,Abierta,"['210-74-6960', '304-23-9582', '354-41-2235']","['MNT-05072', 'MNT-08621']",-1,21578,MUY URGENTE
149,Desgaste,2024-07-21,Cerrada,"['309-48-5557', '191-66-6006']","['MNT-03627', 'MNT-10050']",-1,7116166,URGENTE
150,Desgaste,2024-02-07,Cerrada,"['442-73-6240', '428-15-6327', '703-36-0172']","['MNT-01348', 'MNT-04293', 'MNT-11069']",177,9294693,MUY URGENTE
151,Mal funcionamiento,2024-02-27,Cerrada,['933-52-0348'],['MNT-13944'],-1,4987792,POCO URGENTE
152,Vandalismo,2024-04-24,Cerrada,['799-14-3002'],"['MNT-02198', 'MNT-11261']",8,4985708,POCO URGENTE
153,Rotura,2024-01-03,Abierta,['395-25-3102'],['MNT-13983'],-1,5658324,POCO URGENTE
154,Rotura,2024-06-05,Cerrada,['865-72-4713'],['MNT-11768'],77,25783,POCO URGENTE
155,Vandalismo,2023-12-27,Abierta,"['610-07-8246', '739-38-2948']",['MNT-00714'],-1,4731212,URGENTE
156,Vandalismo,2023-12-07,Cerrada,"['406-08-6881', '522-29-8564', '419-82-9150']","['MNT-06323', 'MNT-14304']",16,32609,MUY URGENTE
157,Rotura,2023-11-27,Abierta,"['265-48-2957', '872-67-3391']","['MNT-00060', 'MNT-01615']",-1,9389678,URGENTE
158,Rotura,2024-02-19,Cerrada,['032-32-5015'],"['MNT-02348', 'MNT-14207']",190,7840613,POCO URGENTE
159,Rotura,2023-12-12,Abierta,"['205-00-9933', '138-25-4182']",['MNT-00017'],-1,4731663,URGENTE
160,Desgaste,2024-02-15,Abierta,"['777-79-8430', '383-80-7670']",['MNT-14613'],-1,7870210,URGENTE
161,Vandalismo,2024-01-17,Abierta,"['198-65-0810', '580-02-1574', '470-22-3012']",['MNT-11633'],-1,22121,MUY URGENTE
162,Desgaste,2024-07-03,Cerrada,"['067-58-2956', '171-54-0923', '945-91-5104']","['MNT-01912', 'MNT-12659', 'MNT-13067']",44,7890628,MUY URGENTE
163,Rotura,2024-07-30,Abierta,"['872-99-7259', '665-47-8041']","['MNT-08033', 'MNT-14540']",-1,5658482,URGENTE
164,Rotura,2023-11-19,Abierta,"['068-68-2427', '696-63-7680']","['MNT-03659', 'MNT-09379']",-1,5158878,URGENTE
165,Rotura,2024-05-18,Cerrada,"['549-28-7148', '715-12-8995', '548-46-9753']",['MNT-03203'],-1,9403069,MUY URGENTE
166,Mal funcionamiento,2024-10-04,Abierta,"['760-99-8105', '714-47-8610', '135-40-0780']","['MNT-01821', 'MNT-08955', 'MNT-10302']",-1,59031,MUY URGENTE
167,Rotura,2023-11-30,Cerrada,['303-99-0679'],['MNT-09101'],-1,24815,POCO URGENTE
168,Vandalismo,2024-02-12,Abierta,['094-28-9871'],['MNT-05716'],-1,9178040,POCO URGENTE
169,Desgaste,2024-07-11,Cerrada,"['391-82-5472', '913-45-8490', '003-70-2209']","['MNT-07839', 'MNT-10091']",28,21880,MUY URGENTE
170,Desgaste,2023-11-19,Abierta,"['213-99-9087', '179-49-4838']",['MNT-12457'],-1,58886,URGENTE
171,Rotura,2023-11-06,Abierta,"['562-33-7001', '311-30-4865']",['MNT-12488'],-1,34163,URGENTE
172,Vandalismo,2024-09-20,Cerrada,"['186-54-3558', '128-84-7974']",['MNT-06870'],-1,9398245,URGENTE
173,Desgaste,2024-07-09,Abierta,"['002-53-4615', '244-04-0014']",['MNT-13396'],-1,4960350,URGENTE
174,Vandalismo,2023-12-23,Abierta,"['213-35-6192', '362-20-2362', '698-52-5306']","['MNT-05567', 'MNT-06893']",-1,3759327,MUY URGENTE
175,Rotura,2024-09-15,Cerrada,['463-07-6119'],['MNT-13508'],-1,24248,POCO URGENTE
176,Desgaste,2024-03-07,Abierta,"['465-66-7179', '499-25-5214', '802-02-2509']","['MNT-05197', 'MNT-13163']",-1,9052568,MUY URGENTE
177,Mal funcionamiento,2024-08-01,Cerrada,"['516-93-9492', '465-05-9417']",['MNT-09393'],-1,22282,URGENTE
178,Mal funcionamiento,2024-09-13,Abierta,['280-16-8155'],['MNT-11491'],-1,7902158,POCO URGENTE
179,Rotura,2024-03-07,Cerrada,"['397-44-1337', '364-82-2347', '171-50-3237']",['MNT-13741'],-1,33873,MUY URGENTE
180,Rotura,2024-07-23,Cerrada,"['002-07-7437', '408-76-7776']",['MNT-12723'],-1,9294735,URGENTE
181,Rotura,2024-08-04,Abierta,"['832-34-4746', '759-45-6594', '236-84-5106']",['MNT-06398'],-1,8928484,MUY URGENTE
182,Vandalismo,2024-09-25,Cerrada,"['917-42-2331', '465-09-8156']",['MNT-02666'],-1,24887,URGENTE
183,Desgaste,2024-02-19,Cerrada,['054-11-4063'],['MNT-07836'],236,7794406,POCO URGENTE
184,Mal funcionamiento,2024-05-11,Cerrada,"['862-77-3192', '537-17-5166']",['MNT-06102'],-1,4986463,URGENTE
185,Mal funcionamiento,2023-11-15,Cerrada,"['854-62-4392', '426-18-3896']",['MNT-07585'],171,9493226,URGENTE
186,Rotura,2023-12-30,Abierta,"['757-76-2598', '039-22-1924']",['MNT-11854'],-1,21758,URGENTE
187,Vandalismo,2024-08-25,Cerrada,['057-70-0978'],['MNT-07064'],-1,5658624,POCO URGENTE
188,Desgaste,2024-05-13,Cerrada,['416-92-4256'],"['MNT-05054', 'MNT-08978']",17,33285,POCO URGENTE
189,Vandalismo,2023-12-24,Abierta,"['612-98-3499', '360-52-5410']",['MNT-10821'],-1,33696,URGENTE
190,Mal funcionamiento,2023-12-29,Cerrada,"['990-34-7933', '786-49-5347', '901-30-7322']","['MNT-07252', 'MNT-14114']",247,4749987,MUY URGENTE
191,Rotura,2024-10-09,Cerrada,['758-71-7752'],"['MNT-02506', 'MNT-08275']",-1,5195574,POCO URGENTE
192,Vandalismo,2024-01-10,Abierta,"['342-07-6171', '804-26-7623', '580-40-7687']","['MNT-05460', 'MNT-07271']",-1,59208,MUY URGENTE
193,Desgaste,2024-05-27,Abierta,['664-40-9102'],['MNT-12763'],-1,7143519,POCO URGENTE
194,Desgaste,2024-06-29,Abierta,"['061-19-0691', '972-81-3786', '664-33-3200']",['MNT-04178'],-1,7248023,MUY URGENTE
195,Mal funcionamiento,2023-10-22,Abierta,"['495-29-8363', '174-15-0363', '966-69-8630']","['MNT-11887', 'MNT-12689']",-1,4960344,MUY URGENTE
196,Mal funcionamiento,2023-10-30,Abierta,['909-82-3394'],['MNT-13447'],-1,22020,POCO URGENTE
197,Rotura,2024-07-02,Cerrada,"['532-05-5805', '163-11-1730']",['MNT-02718'],55,32744,URGENTE
198,Desgaste,2024-03-11,Cerrada,"['007-04-5019', '152-23-7523']","['MNT-05845', 'MNT-13951']",30,8934575,URGENTE
199,Desgaste,2024-03-21,Cerrada,"['063-58-5461', '217-91-8807']","['MNT-06959', 'MNT-11135']",109,24296,URGENTE
200,Mal funcionamiento,2024-01-02,Abierta,"['673-75-8581', '129-74-7536']","['MNT-00997', 'MNT-03861']",-1,8888417,URGENTE
201,Desgaste,2023-10-29,Abierta,['479-87-4882'],"['MNT-08681', 'MNT-12944']",-1,9391929,POCO URGENTE
202,Desgaste,2024-04-16,Abierta,"['690-16-4774', '252-10-7073']","['MNT-06764', 'MNT-09871']",-1,57970,URGENTE
203,Mal funcionamiento,2024-06-18,Cerrada,"['367-06-8004', '277-94-4280']",['MNT-10765'],-1,7858774,URGENTE
204,Desgaste,2024-09-06,Abierta,"['506-71-8929', '250-51-8547', '223-08-2682']",['MNT-07597'],-1,9041503,MUY URGENTE
205,Vandalismo,2024-03-17,Cerrada,['734-24-8767'],['MNT-08255'],160,9495111,POCO URGENTE
206,Mal funcionamiento,2024-02-23,Cerrada,['260-85-2212'],['MNT-03972'],161,7546152,POCO URGENTE
207,Vandalismo,2024-06-19,Cerrada,['803-81-3426'],"['MNT-01923', 'MNT-10256']",79,3581236,POCO URGENTE
208,Mal funcionamiento,2024-04-02,Cerrada,"['440-02-5745', '273-62-7268']",['MNT-07834'],-1,22321,URGENTE
209,Rotura,2024-10-10,Cerrada,"['092-70-0241', '365-96-5751']","['MNT-02095', 'MNT-06413']",-1,7108742,URGENTE
210,Desgaste,2024-01-27,Cerrada,"['328-61-4499', '890-01-1532', '673-84-2527']",['MNT-11741'],-1,52982,MUY URGENTE
